,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05178256034851074,0.041569238626870536,0.013687658309936523,0.007645037619928239,7,3,5,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 5}",0.7552447552447552,0.8111888111888111,0.8309859154929577,0.795774647887324,0.8169014084507042,0.8020191076529104,0.02596719321521244,71,0.8910369068541301,0.8857644991212654,0.8824561403508772,0.8842105263157894,0.8824561403508772,0.8851848425985878,0.0031756442454256837
1,0.03805766105651855,0.023759011414928713,0.004277324676513672,0.0015872966581394242,7,3,7,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 7}",0.7972027972027972,0.8251748251748252,0.8380281690140845,0.8098591549295775,0.8028169014084507,0.8146163695459471,0.014997895722983105,40,0.8804920913884007,0.8998242530755711,0.8842105263157894,0.8771929824561403,0.8947368421052632,0.887291339068233,0.008604736271171568
2,0.04020671844482422,0.014941808090352143,0.005142021179199219,0.0014528335024900695,7,3,10,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 10}",0.7902097902097902,0.8251748251748252,0.8169014084507042,0.8309859154929577,0.8028169014084507,0.8132177681473458,0.014898272090639214,45,0.8840070298769771,0.8875219683655536,0.9017543859649123,0.8964912280701754,0.8982456140350877,0.8936040452625413,0.006714199914976154
3,0.05990438461303711,0.02026642274301574,0.005476665496826172,0.001900859471662353,7,3,20,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 20}",0.7972027972027972,0.8531468531468531,0.8380281690140845,0.823943661971831,0.8169014084507042,0.825844577957254,0.018962064701722597,8,0.8910369068541301,0.8945518453427065,0.9,0.8947368421052632,0.9,0.89606511886042,0.0034728608098553685
4,0.12441740036010743,0.026641131476713445,0.007380962371826172,0.001378885214763627,7,3,50,"{'max_depth': 7, 'min_samples_split': 3, 'n_estimators': 50}",0.8111888111888111,0.8391608391608392,0.8309859154929577,0.8309859154929577,0.8098591549295775,0.8244361272530287,0.011752413350182848,10,0.8892794376098418,0.8963093145869947,0.8947368421052632,0.8859649122807017,0.8982456140350877,0.8929072241235778,0.004577699357547881
5,0.009954261779785156,0.0007343465227095878,0.0025043487548828125,0.000674822466593813,7,6,5,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 5}",0.8041958041958042,0.7972027972027972,0.8309859154929577,0.7746478873239436,0.7676056338028169,0.7949276076036639,0.022578905334933952,76,0.8717047451669596,0.8769771528998243,0.875438596491228,0.8666666666666667,0.8929824561403509,0.8767539234730058,0.008858805116090529
6,0.011854219436645507,0.0003036103255751928,0.0046633720397949215,0.0029751443867156594,7,6,7,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 7}",0.7972027972027972,0.8321678321678322,0.8169014084507042,0.8028169014084507,0.7183098591549296,0.7934797596769427,0.03948898011588625,77,0.859402460456942,0.8717047451669596,0.887719298245614,0.8842105263157894,0.8947368421052632,0.8795547744581137,0.012542482780959515
7,0.018143177032470703,0.0033454937123355882,0.0026035308837890625,0.0003195146286649469,7,6,10,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 10}",0.7622377622377622,0.8251748251748252,0.8098591549295775,0.8169014084507042,0.8028169014084507,0.803398010440264,0.021876112660717206,66,0.8804920913884007,0.8892794376098418,0.8807017543859649,0.8842105263157894,0.8929824561403509,0.8855332531680696,0.0048996085902863265
8,0.034001731872558595,0.00201062158709591,0.004261589050292969,0.0013080151072096182,7,6,20,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 20}",0.8111888111888111,0.8181818181818182,0.823943661971831,0.8169014084507042,0.795774647887324,0.8131980695360976,0.009608672827525621,47,0.8769771528998243,0.8927943760984183,0.9017543859649123,0.8947368421052632,0.8929824561403509,0.8918490426417538,0.008121657442791913
9,0.08123054504394531,0.00823489196917135,0.006726598739624024,0.0020031412592884656,7,6,50,"{'max_depth': 7, 'min_samples_split': 6, 'n_estimators': 50}",0.8041958041958042,0.8321678321678322,0.8309859154929577,0.8309859154929577,0.823943661971831,0.8244558258642766,0.010540303337219446,9,0.8822495606326889,0.8822495606326889,0.8842105263157894,0.8912280701754386,0.8929824561403509,0.8865840347793913,0.004598167795019593
